"code_muni","year","soy","beef","coffee","cocoa","rubber","palm","soy_perc","beef_perc","coffee_perc","cocoa_perc","rubber_perc","palm_perc"
"1302801","2021",0,1140,0,0,0,0,0,0.00000507564509935424,0,0,0,0
"1302900","2021",0,10833,0,0,0,0,0,0.000048231985404653,0,0,0,0
"1303007","2021",0,22000,0,0,0,0,0,0.0000979510457770116,0,0,0,0
"1303106","2021",0,7063,8,55,0,0,0,0.0000314467380146833,0.0000043630017452007,0.0000915418645912739,0,0
"1303205","2021",0,421,0,0,0,0,0,0.000001874426830551,0,0,0,0
"1303304","2021",0,42800,0,83,0,0,0,0.000190559307238914,0,0.000138144995655922,0,0
"1303403","2021",0,50200,0,0,0,0,0,0.00022350647718209,0,0,0,0
"1303502","2021",0,10500,0,7,0,0,0,0.0000467493627572101,0,0.0000116507827661621,0,0
"1303536","2021",0,11957,0,0,0,0,0,0.0000532363933798058,0,0,0,0
"1303569","2021",0,1896,0,0,0,0,0,0.00000844159921787337,0,0,0,0
"1303601","2021",0,350,0,0,0,0,0,0.000001558312091907,0,0,0,0
"1303700","2021",0,1370,0,0,0,0,0,0.00000609967875975027,0,0,0,0
"1303809","2021",0,123,0,0,0,0,0,0.000000547635392298747,0,0,0,0
"1303908","2021",0,320,0,0,0,0,0,0.00000142474248402926,0,0,0,0
"1303957","2021",0,10812,3,0,0,0,0,0.0000481384866791386,0.00000163612565445026,0,0,0
"1304005","2021",0,12539,14,0,0,0,0,0.000055827643772634,0.00000763525305410122,0,0,0
"1304062","2021",0,246,0,0,0,0,0,0.00000109527078459749,0,0,0,0
"1304104","2021",0,758,0,0,0,0,0,0.00000337485875904431,0,0,0,0
"1304203","2021",0,1096,0,20,0,0,0,0.00000487974300780022,0,0.0000332879507604632,0,0
"1304237","2021",0,1253,0,0,0,0,0,0.00000557875728902707,0,0,0,0
"1304260","2021",0,612,0,0,0,0,0,0.00000272482000070596,0,0,0,0
"1304302","2021",0,13714,0,22,0,0,0,0.000061059120081179,0,0.0000366167458365096,0,0
"1304401","2021",0,16000,0,100,0,0,0,0.000071237124201463,0,0.000166439753802316,0,0
"1400027","2021",100,111130,0,0,0,0,0.00000255467346087183,0.000494786350781787,0,0,0,0
"1400050","2021",26758,89067,0,0,0,0,0.000683579524660084,0.000396554808828232,0,0,0,0
"1400100","2021",23121,26708,0,0,0,0,0.000590666050888176,0.000118912569573292,0,0,0,0
"1400159","2021",15306,75520,0,0,0,0,0.000391018319921042,0.000336239226230905,0,0,0,0
"1400175","2021",1715,77320,0,0,0,0,0.0000438126498539519,0.00034425340270357,0,0,0,0
"1400209","2021",186,47766,0,0,0,0,0.0000047516926372216,0.000212669529662943,0,0,0,0
"1400233","2021",0,81233,0,170,0,0,0,0.00036167533189109,0,0.000282947581463938,0,0
"1400282","2021",1202,64780,0,0,0,0,0.0000307071749996794,0.000288421306610673,0,0,0,0
"1400308","2021",2790,151569,0,0,0,0,0.000071275389558324,0.000674833729880722,0,0,0,0
"1400407","2021",0,19234,0,0,0,0,0,0.0000856359279306837,0,0,0,0
"1400456","2021",0,20879,0,0,0,0,0,0.0000929599947626466,0,0,0,0
"1400472","2021",0,80767,0,0,0,156,0,0.000359600550648723,0,0,0,0.000789553598542363
"1400506","2021",0,26232,0,0,0,0,0,0.000116793265128299,0,0,0,0
"1400605","2021",0,44474,0,0,0,0,0,0.000198012491358492,0,0,0,0
"1400704","2021",0,21310,0,0,0,0,0,0.0000948789447958235,0,0,0,0
"1500107","2021",0,3500,0,140,0,2000,0,0.00001558312091907,0,0.000233015655323243,0,0.0101224820325944
"1500131","2021",5600,45670,0,0,0,0,0.000143061713808822,0.000203337466392551,0,0,0,0
"1500206","2021",0,15184,0,1120,0,14000,0,0.0000676040308671884,0,0.00186412524258594,0,0.0708573742281607
"1500305","2021",0,1842,0,0,0,0,0,0.00000820117392369343,0,0,0,0
"1500347","2021",600,688758,0,100,0,0,0.000015328040765231,0.00306657119942195,0,0.000166439753802316,0,0
"1500404","2021",0,237509,0,417,0,0,0,0.00105746613324783,0,0.000694053773355658,0,0
"1500503","2021",0,26966,25,45,0,0,0,0.000120061268201041,0.0000136343804537522,0.0000748978892110423,0,0
"1500602","2021",14000,904271,1,4746,0,0,0.000357654284522056,0.00402610409617382,0.000000545375218150087,0.00789923071545793,0,0
"1500701","2021",0,1310,0,0,0,0,0,0.00000583253954399478,0,0,0,0
"1500800","2021",0,50,0,0,0,0,0,0.000000222616013129572,0,0,0,0
"1500859","2021",0,337782,0,10113,0,0,0,0.00150391364293866,0,0.0168320523020282,0,0
"1500909","2021",0,3549,0,0,0,0,0,0.000015801284611937,0,0,0,0
"1500958","2021",0,77764,0,10,0,1900,0,0.000346230232900161,0,0.0000166439753802316,0,0.00961635793096467
"1501006","2021",0,64029,8,300,0,0,0,0.000285077614093467,0.0000043630017452007,0.000499319261406949,0,0
"1501105","2021",0,914,0,0,0,0,0,0.00000406942072000857,0,0,0,0
"1501204","2021",0,68000,10,400,0,40,0,0.000302757777856218,0.00000545375218150087,0.000665759015209265,0,0.000202449640651888
"1501253","2021",0,306881,0,8,0,0,0,0.00136633249450432,0,0.0000133151803041853,0,0
"1501303","2021",0,750,0,1700,0,0,0,0.00000333924019694358,0,0.00282947581463938,0,0
"1501402","2021",0,77,0,0,0,0,0,0.000000342828660219541,0,0,0,0
"1501451","2021",23000,23313,0,0,16,0,0.000587574896000521,0.000103796942281794,0,0,0.0000900003937517227,0
"1501501","2021",0,2046,0,0,0,0,0,0.00000910944725726208,0,0,0,0
"1501576","2021",0,239262,0,0,0,0,0,0.00106527105066815,0,0,0,0
"1501600","2021",0,9914,0,0,0,8800,0,0.0000441403030833315,0,0,0,0.0445389209434153
"1501709","2021",0,37572,0,20,0,0,0,0.000167282576906086,0,0.0000332879507604632,0,0
"1501725","2021",0,289288,10,7653,0,0,0,0.00128800282412455,0.00000545375218150087,0.0127376343584913,0,0
"1501758","2021",500,130890,0,0,0,0,0.0000127733673043591,0.000582764199170593,0,0,0,0
"1501782","2021",0,183660,0,100,0,0,0,0.000817713139427543,0,0.000166439753802316,0,0
"1501808","2021",0,1230,0,0,0,0,0,0.00000547635392298747,0,0,0,0
"1501907","2021",0,6823,0,0,0,400,0,0.0000303781811516614,0,0,0,0.00202449640651888
"1501956","2021",0,48857,0,35,0,0,0,0.00021752701106943,0,0.0000582539138308107,0,0
"1502004","2021",0,43400,0,0,0,0,0,0.000193230699396468,0,0,0,0
"1502103","2021",0,450,16,6396,0,0,0,0.00000200354411816615,0.0000087260034904014,0.0106454866531961,0,0
"1502152","2021",0,224547,0,0,0,0,0,0.00099975515800412,0,0,0,0
"1502202","2021",0,24966,0,0,0,0,0,0.000111156627675858,0,0,0,0
"1502301","2021",0,106921,0,0,0,200,0,0.000476046534796539,0,0,0,0.00101224820325944
"1502400","2021",0,36446,0,170,0,1000,0,0.000162269264290408,0,0.000282947581463938,0,0.0050612410162972
"1502509","2021",0,68018,0,0,0,0,0,0.000302837919620944,0,0,0,0
"1502608","2021",0,665,0,0,0,0,0,0.00000296079297462331,0,0,0,0
"1502707","2021",7111,298233,0,0,0,0,0.000181662829802596,0.00132782882887343,0,0,0,0
"1502756","2021",0,13572,0,290,0,18400,0,0.000060426890603891,0,0.000482675286026717,0,0.0931268346998684
"1502764","2021",11668,733564,0,10,50,0,0.000298079299414525,0.00326606186110763,0,0.0000166439753802316,0.000281251230474133,0
"1502772","2021",0,257434,0,0,0,0,0,0.00114617861447996,0,0,0,0
"1502806","2021",0,115,0,0,0,0,0,0.000000512016830198015,0,0,0,0
"1502855","2021",0,45914,0,0,0,0,0,0.000204423832536623,0,0,0,0
"1502905","2021",0,3395,0,0,0,100,0,0.0000151156272914979,0,0,0,0.00050612410162972
"1502939","2021",101500,86915,0,0,0,0,0.00259299356278491,0.000386973415623135,0,0,0,0
"1502954","2021",0,399164,0,120,0,0,0,0.00177720596529705,0,0.000199727704562779,0,0
"1503002","2021",0,2759,0,0,0,0,0,0.0000122839516044898,0,0,0,0
"1503044","2021",8166,208454,0,0,0,0,0.000208614634814794,0.000928103968018236,0,0,0,0
"1503077","2021",0,65689,0,0,0,1800,0,0.000292468465729369,0,0,0,0.00911023382933495
"1503093","2021",0,313412,0,0,0,0,0,0.00139541059813931,0,0,0,0
"1503101","2021",0,1202,0,70,0,0,0,0.00000535168895563491,0,0.000116507827661621,0,0
"1503200","2021",0,21371,0,0,0,6200,0,0.0000951505363318416,0,0,0,0.0313796943010426
"1503309","2021",0,2100,0,462,0,0,0,0.00000934987255144202,0,0.000768951662566701,0,0
"1503408","2021",0,15190,0,310,0,0,0,0.0000676307447887639,0,0.00051596323678718,0,0
"1503457","2021",6695,121524,0,7,0,0,0.000171035388205369,0.000541063767591162,0,0.0000116507827661621,0,0
"1503507","2021",0,72653,0,10,0,2547,0,0.000323474424038056,0,0.0000166439753802316,0,0.012890980868509
"1503606","2021",0,342732,0,500,0,0,0,0.00152595262823849,0,0.000832198769011581,0,0
"1503705","2021",0,703887,0,100,0,0,0,0.0031339303526747,0,0.000166439753802316,0,0
"1503754","2021",0,82470,0,4,0,0,0,0.000367182852055916,0,0.00000665759015209265,0,0
"1503804","2021",0,184253,0,0,0,0,0,0.00082035336534326,0,0,0,0
"1503903","2021",0,43129,0,0,0,0,0,0.000192024120605306,0,0,0,0
"1504000","2021",0,15,0,80,0,0,0,0.0000000667848039388716,0,0.000133151803041853,0,0
"1504059","2021",0,45814,0,0,0,530,0,0.000203978600510364,0,0,0,0.00268245773863751
"1504109","2021",0,1301,0,0,0,0,0,0.00000579246866163146,0,0,0,0
"1504208","2021",525,1478450,0,0,0,0,0.0000134120356695771,0.00658253289222831,0,0,0,0
"1504307","2021",0,3934,0,0,0,320,0,0.0000175154279130347,0,0,0,0.0016195971252151
"1504406","2021",0,4826,0,0,0,25,0,0.0000214868975872663,0,0,0,0.00012653102540743
"1504422","2021",0,48,0,0,0,0,0,0.000000213711372604389,0,0,0,0
"1504455","2021",0,201281,30,44141,0,0,0,0.000896167474774667,0.0000163612565445026,0.0734681717258804,0,0
"1504505","2021",0,1150,0,11,0,0,0,0.00000512016830198015,0,0.0000183083729182548,0,0
"1504604","2021",0,824,0,700,0,0,0,0.00000366871189637534,0,0.00116507827661621,0,0
"1504703","2021",0,85000,0,170,0,21000,0,0.000378447222320272,0,0.000282947581463938,0,0.106286061342241
"1504752","2021",46000,17684,0,0,0,0,0.00117514979200104,0.000078734831523667,0,0,0,0
"1504802","2021",0,281287,0,241,20,0,0,0.00125237980970356,0,0.000401119806663582,0.000112500492189653,0
"1504901","2021",0,6100,0,0,0,0,0,0.0000271591536018078,0,0,0,0
"1504950","2021",0,60073,0,0,0,0,0,0.000267464235134655,0,0,0,0
"1504976","2021",0,136566,0,7,0,0,0,0.000608035568981062,0,0.0000116507827661621,0,0
"1505007","2021",0,24104,0,0,0,240,0,0.000107318727609504,0,0,0,0.00121469784391133
"1505031","2021",20000,642252,0,10,0,0,0.000510934692174366,0.00285951159328988,0,0.0000166439753802316,0,0
"1505064","2021",0,1155609,0,4167,0,0,0,0.00514514136633303,0,0.00693554454094251,0,0
"1505106","2021",0,160052,0,0,0,0,0,0.000712602762668285,0,0,0,0
"1505205","2021",0,4078,0,90,0,0,0,0.0000181565620308479,0,0.000149795778422085,0,0
"1505304","2021",0,131126,0,0,0,0,0,0.000583814946752565,0,0,0,0
"1505403","2021",0,18499,0,0,0,0,0,0.000082363472537679,0,0,0,0
"1505437","2021",0,226851,0,930,0,0,0,0.00101001330388913,0,0.00154788971036154,0,0
"1505486","2021",0,733530,20,5641,0,0,0,0.0032659104822187,0.0000109075043630017,0.00938886651198866,0,0
"1505494","2021",0,109618,0,0,0,0,0,0.000488054442544748,0,0,0,0
"1505502","2021",179600,367490,0,62,0,0,0.00458819353572581,0.00163618317329973,0,0.000103192647357436,0,0
"1505536","2021",600,134265,20,90,0,0,0.000015328040765231,0.000597790780056839,0.0000109075043630017,0.000149795778422085,0,0
