"CD_MUN","year","deforestation","freq","terra","trabalhoescravo","embargoes","perc_area","consolidated","consolidated_sa"
1200450,"2021",0.023098551947139,0,0,0,0,0,0.00577463798678476,0.00577463798678476
1200450,"2022",0.0213974413046535,0,0,0,0.0170940170940171,0.659439007835456,0.00769829167973411,0.00769829167973411
1200500,"2021",0.141093771966821,0,0.0930232558139535,0,0,0,0.0585292569451937,0.0585292569451937
1200500,"2022",0.152200196822719,0,0.13953488372093,0,0.0541310541310541,0.618563442406376,0.0691732269349407,0.0691732269349407
1200609,"2021",0.117193870378181,0,0,0,0,0,0.0292984675945452,0.0292984675945452
1200609,"2022",0.145016167580486,0,0.0465116279069767,0,0.0170940170940171,0.517114347378257,0.0417243625162961,0.0417243625162961
1200708,"2021",0.0654997891185154,0,0,0,0,0,0.0163749472796288,0.0163749472796288
1200708,"2022",0.0877688738928722,0,0,0,0.113960113960114,0.649587144368433,0.0403457975705972,0.0403457975705972
1200807,"2021",0.0281597075776747,0,0,0,0,0,0.00703992689441867,0.00703992689441867
1200807,"2022",0.0269647124982427,0,0,0,0.0598290598290598,0.460398667906718,0.0173587544654605,0.0173587544654605
1300029,"2021",0.00906790383804302,0,0,0,0,0,0.00226697595951075,0.00226697595951075
1300029,"2022",0.00302263461268101,0,0,0,0,0.527248104782494,0.000604526922536201,0.000604526922536201
1300060,"2021",0.0000281175312807536,0,0,0,0,0,0.00000702938282018839,0.00000702938282018839
1300060,"2022",0,0,0,0,0,0.455136602508025,0,0
1300086,"2021",0.000998172360466751,0,0,0,0,0,0.000249543090116688,0.000249543090116688
1300086,"2022",0.00108252495430901,0,0,0,0,0.0921910463964155,0.000216504990861802,0.000216504990861802
1300102,"2021",0.000253057781526782,0,0,0,0,0,0.0000632644453816955,0.0000632644453816955
1300102,"2022",0.0000984113594826374,0,0,0,0,0.864350140348648,0.0000196822718965275,0.0000196822718965275
1300144,"2021",0.560958807816674,0,0,0,0,0,0.140239701954168,0.140239701954168
1300144,"2022",0.828005061155631,0,0.209302325581395,0,1,0.922818719161513,0.407461477347405,0.407461477347405
1300201,"2021",0.00136370026711655,0,0.13953488372093,0,0,0,0.0352246459970117,0.0352246459970117
1300201,"2022",0.00126528890763391,0.0833333333333333,0.372093023255814,0,0,0.847422489533362,0.0913383290993562,0.0913383290993562
1300300,"2021",0.0560101223112611,0,0.0930232558139535,0,0,0,0.0372583445313036,0.0372583445313036
1300300,"2022",0.0480669197244482,0.0833333333333333,0.325581395348837,0,0,0.287818568358382,0.0913963296813237,0.0913963296813237
1300409,"2021",0.00082946717278223,0,0,0,0,0,0.000207366793195557,0.000207366793195557
1300409,"2022",0.000365527906649796,0,0.0232558139534884,0,0,0.484077422895814,0.00472426837202763,0.00472426837202763
1300508,"2021",0.00492056797413187,0,0,0,0,0,0.00123014199353297,0.00123014199353297
