"Ano","Geocodigo","Valor","Tipo"
"2001",4300059,2,"embargos_desmatamento"
"2001",4300406,1,"embargos_desmatamento"
"2001",4300638,1,"embargos_desmatamento"
"2001",4300901,1,"embargos_desmatamento"
"2001",4301701,1,"embargos_desmatamento"
"2001",4303608,1,"embargos_desmatamento"
"2001",4304200,1,"embargos_desmatamento"
"2001",4304655,1,"embargos_desmatamento"
"2001",4305108,3,"embargos_desmatamento"
"2001",4306379,1,"embargos_desmatamento"
"2001",4308607,1,"embargos_desmatamento"
"2001",4310009,1,"embargos_desmatamento"
"2001",4310405,1,"embargos_desmatamento"
"2001",4310538,1,"embargos_desmatamento"
"2001",4310579,1,"embargos_desmatamento"
"2001",4311007,1,"embargos_desmatamento"
"2001",4313201,1,"embargos_desmatamento"
"2001",4314407,1,"embargos_desmatamento"
"2001",4315107,1,"embargos_desmatamento"
"2001",4315503,1,"embargos_desmatamento"
"2001",4316907,1,"embargos_desmatamento"
"2001",4317608,1,"embargos_desmatamento"
"2001",4318002,1,"embargos_desmatamento"
"2001",4318200,2,"embargos_desmatamento"
"2001",4318309,1,"embargos_desmatamento"
"2001",4318408,1,"embargos_desmatamento"
"2001",4319158,3,"embargos_desmatamento"
"2001",4319703,1,"embargos_desmatamento"
"2001",5100250,1,"embargos_desmatamento"
"2001",5101605,1,"embargos_desmatamento"
"2001",5103106,4,"embargos_desmatamento"
"2001",5103304,1,"embargos_desmatamento"
"2001",5103353,2,"embargos_desmatamento"
