system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,mapbiomas_deforestation_2021,mapbiomas_deforestation_2022,.geo
0000000000000000001f,2446.121,1300086,Anamã,AM,795.4634488263532,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,6036.38,1300102,Anori,AM,122.21249042358416,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,54240.545,1300144,Apuí,AM,45808.57978167241,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,76507.617,1300201,Atalaia do Norte,AM,298.5025639282227,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,7652.852,1300300,Autazes,AM,5173.653741470966,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,122461.086,1300409,Barcelos,AM,4094.3557600891468,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,5751.765,1300508,Barreirinha,AM,642.377474068365,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,8705.441,1300607,Benjamin Constant,AM,238.5300559509273,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,17472.779,1300631,Beruri,AM,1075.9561419497004,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,2589.407,1300680,Boa Vista do Ramos,AM,293.5586375493311,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,21938.583,1300706,Boca do Acre,AM,23344.70489148719,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,44236.184,1300805,Borba,AM,3011.678130794835,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,9455.539,1300839,Caapiranga,AM,546.5238239993598,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,33642.732,1300904,Canutama,AM,13967.594004386201,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,25778.658,1301001,Carauari,AM,344.0016777282713,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,6096.212,1301100,Careiro,AM,1249.7025269225333,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,2627.474,1301159,Careiro da Várzea,AM,1953.446247817538,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,57970.768,1301209,Coari,AM,1276.9156635375973,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,18700.713,1301308,Codajás,AM,419.848083129882,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,14966.242,1301407,Eirunepé,AM,1096.2607988539505,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,7505.794,1301506,Envira,AM,1687.2243166188432,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,12155.427,1301605,Fonte Boa,AM,282.1920043987444,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,7583.534,1301654,Guajará,AM,3217.407593996942,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,33111.129,1301704,Humaitá,AM,21921.278640455886,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,12109.779,1301803,Ipixuna,AM,1918.021455081703,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,2216.817,1301852,Iranduba,AM,286.24662180699977,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,8891.906,1301902,Itacoatiara,AM,1887.6945628881838,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,25260.429,1301951,Itamarati,AM,324.3415769670076,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,4335.075,1302009,Itapiranga,AM,215.1322824462891,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,55827.203,1302108,Japurá,AM,1112.8463570495603,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,19442.548,1302207,Juruá,AM,863.1480326215644,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,69457.415,1302306,Jutaí,AM,1506.3157739680503,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,68262.68,1302405,Lábrea,AM,64112.06138051982,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,7336.579,1302504,Manacapuru,AM,1674.0463109272025,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,3973.258,1302553,Manaquiri,AM,2195.4972186520595,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,11401.092,1302603,Manaus,AM,913.139373991584,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,48315.038,1302702,Manicoré,AM,19967.92975032853,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,16830.827,1302801,Maraã,AM,958.9265903684641,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,39991.066,1302900,Maués,AM,7586.95929773451,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,14107.04,1303007,Nhamundá,AM,1190.3302664645375,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,5578.132,1303106,Nova Olinda do Norte,AM,986.0185517456104,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,37776.77,1303205,Novo Airão,AM,757.5352182762718,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,41179.656,1303304,Novo Aripuanã,AM,24437.980939138375,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,5956.047,1303403,Parintins,AM,587.776121183008,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,41624.664,1303502,Pauini,AM,3964.3747616453193,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,25459.099,1303536,Presidente Figueiredo,AM,1890.212682442081,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,5815.622,1303569,Rio Preto da Eva,AM,493.3742172146902,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,62800.078,1303601,Santa Isabel do Rio Negro,AM,216.95853157959004,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,12366.214,1303700,Santo Antônio do Içá,AM,240.23621593017631,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,109192.562,1303809,São Gabriel da Cachoeira,AM,914.110999659666,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,19658.502,1303908,São Paulo de Olivença,AM,293.0624275451664,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,10647.463,1303957,São Sebastião do Uatumã,AM,465.86959367663655,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,3723.382,1304005,Silves,AM,144.82838914184563,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,3260.103,1304062,Tabatinga,AM,847.1380924596228,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,84946.035,1304104,Tapauá,AM,5902.659431025084,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,23692.223,1304203,Tefé,AM,2710.2267981323175,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,6446.894,1304237,Tonantins,AM,172.68059963893532,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,10274.677,1304260,Uarini,AM,1499.6601059054728,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,27901.962,1304302,Urucará,AM,267.24509395938594,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,2886.494,1304401,Urucurituba,AM,179.3117680481444,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9,7713.046,1600055,Serra do Navio,AP,36.775360576028255,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,8454.847,1600105,Amapá,AP,23.764214361572286,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb,9622.29,1600154,Pedra Branca do Amapari,AP,216.09847048303925,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,14117.297,1600204,Calçoene,AP,198.00204127197253,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd,2179.114,1600212,Cutias,AP,18.234936669921886,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,4973.855,1600238,Ferreira Gomes,AP,61.59043168090822,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff,1622.867,1600253,Itaubal,AP,20.381526055908186,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,30782.998,1600279,Laranjal do Jari,AP,183.07379101878468,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,6563.849,1600303,Macapá,AP,124.8189977633128,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102,13294.778,1600402,Mazagão,AP,398.1795736165127,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
