system:index,AREA_KM2,CD_MUN,NM_MUN,SIGLA_UF,sum,.geo
00000000000000000696,181.475,2900306,Acajutiba,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000697,629.099,2900355,Adustina,BA,5263.848312147941,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000698,742.775,2900405,Água Fria,BA,13463.718842053751,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000699,735.249,2900504,Érico Cardoso,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069a,167.877,2900603,Aiquara,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069b,707.835,2900702,Alagoinhas,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069c,1477.929,2900801,Alcobaça,BA,7506.686195097058,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069d,245.236,2900900,Almadina,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069e,431.655,2901007,Amargosa,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000069f,166.872,2901106,Amélia Rodrigues,BA,0.16645804931640626,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a0,822.373,2901155,América Dourada,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a1,1899.683,2901205,Anagé,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a2,1590.316,2901304,Andaraí,BA,44251.6174256027,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a3,1362.386,2901353,Andorinha,BA,3138.5204988408514,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a4,1530.05,2901403,Angical,BA,45807.723796544764,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a5,187.84,2901502,Anguera,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a6,319.745,2901601,Antas,BA,2.478234598891315,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a7,293.53,2901700,Antônio Cardoso,BA,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a8,345.284,2901809,Antônio Gonçalves,BA,2203.511330831072,"{""type"":""MultiPoint"",""coordinates"":[]}"
