Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Data,Numero De Pessoas,Tipo De Violencia,Categoria Causou Acao,Categoria Sofreu Acao,Categoria Vitima Violencia,Eixos De Violencia,Genero,Idade,Identidade De Genero,Orientacao Sexual,Raca Cor,Municipios Vitima,Lugar
2016,Sul,PR,Quedas do Iguaçu (PR),Parte da Faz. da Araupel/P. A. Leomar Bhorback,04/07/2016,1,Assassinato,Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,44,,,,Quedas do Iguaçu (PR),Acamp. Dom Tomás Balduino
2016,Sul,PR,Quedas do Iguaçu (PR),Parte da Faz. da Araupel/P. A. Leomar Bhorback,04/07/2016,16,Ferimento,Empresário,Sem Terra,Sem Terra,Terra,,,,,,Quedas do Iguaçu (PR),Acamp. Dom Tomás Balduino
2016,Sul,PR,Quedas do Iguaçu (PR),Parte da Faz. da Araupel/P. A. Leomar Bhorback,04/07/2016,1,"Tentativa de Assassinato, Ferimento",Empresário,Sem Terra,Sem Terra,Terra,M - Masculino,44,,,,Quedas do Iguaçu (PR),"Acamp. Dom Tomás Balduino, Acamp. Dom Tomás Balduino"
2016,Sul,RS,Mato Castelhano (RS),T. I. Fág Ty Ka/Kaingang,05/16/2016,1,Assassinato,Fazendeiro,Indígenas,Indígenas,Terra,F -  Feminino,23,,,Indígena,Mato Castelhano (RS),Acamp. na BR-285/T. I. Mato Castelhano
2016,Sul,RS,Mato Castelhano (RS),T. I. Fág Ty Ka/Kaingang,05/16/2016,1,Tentativa de Assassinato,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,21,,,Indígena,Mato Castelhano (RS),Acamp. na BR-285/ T.I. Mato Castelhano
2016,Sul,RS,Mato Castelhano (RS),T. I. Fág Ty Ka/Kaingang,05/16/2016,1,Tentativa de Assassinato,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,68,,,Indígena,Mato Castelhano (RS),Acampamento às margens da BR-285
2016,Sul,RS,Mato Castelhano (RS),T. I. Fág Ty Ka/Kaingang,05/16/2016,1,Tentativa de Assassinato,Fazendeiro,Indígenas,Indígenas,Terra,M - Masculino,A,,,Indígena,Mato Castelhano (RS),Acampamento da BR-285
2016,Sul,SC,Florianópolis (SC),Manifestações 2016,03/08/2016,1,Agressão,,,Agente pastoral,Terra,F -  Feminino,A,,,,São Miguel do Oeste (SC),Em frente à CEF
2017,Centro-Oeste,MS,Douradina (MS),Faz. Coqueiro e Santa Helena/Tajasu Iguá/T. I. Lagoa Rica Panambi ,03/10/2017,1,Morte em conseqüência,Governo federal,Indígenas,Indígenas,Terra,F -  Feminino,36,,,Indígena,Rio Brilhante (MS),"Margens da BR-163, em Rio Brilhante"
2017,Centro-Oeste,MS,Juti (MS),T. I. Taquara/Takuara,03/25/2017,2,Intimidação,Fazendeiro,Indígenas,Indígenas,Terra,F -  Feminino,A,,,Indígena,Juti (MS),Fazenda Brasília do Sul 
2017,Centro-Oeste,MS,Nioaque (MS),Fazenda Maravilha,06/28/2017,1,Prisão,Fazendeiro,Sem Terra,Sem Terra,Terra,M - Masculino,43,,,,Nioaque (MS),Fazenda Maravilha
