Ano,Regiao,Uf Sigla,Municipio Primario,Nome Conflito,Categoria Causou Acao,Categoria Sofreu Acao,Situacao Conflito Agua,Tipo Conflito Agua,Tipo De Violencia
2018,Nordeste,BA,Caetité (BA),Pov. Barreiro/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Canavieiras (BA),Resex de Canavieiras/Com. de Campinhos,Empresário,Marisqueira,Desconstrução do histórico-cultural,Uso e preservação,
2018,Nordeste,BA,Conde (BA),Barra do Itariri/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Conde (BA),Sítio do Conde/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Correntina (BA),Com. do Rio Arrojado/Faz. Igarashi,Empresário,Camponês de fundo e fecho de pasto,Diminuição do acesso à Água,Apropriação Particular,
2018,Nordeste,BA,Jandaíra (BA),Com. do Cachoeira do Itanhy,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Jandaíra (BA),Pov. Abadia/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Jandaíra (BA),Pov. Coqueiro/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Jandaíra (BA),Pov. Costa Azul/Vazamento de Óleo,Empresário,Pescador,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Lençóis (BA),P. A. Padre Cícero ,Fazendeiro,Assentado,Diminuição do acesso à Água,Apropriação Particular,
2018,Nordeste,BA,Pindaí (BA),Com. Baixa Preta/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Pindaí (BA),Com. Barra dos Crioulos/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Pindaí (BA),Com. Barriguda/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Pindaí (BA),Com. Cachoeira de Baixo/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Pindaí (BA),Com. Cachoeira de Cima/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Pindaí (BA),Com. Guirapá/Bamin/BML,Mineradora,Posseiro,Destruição e ou poluição,Uso e preservação,
2018,Nordeste,BA,Pindaí (BA),Com. Novo Horizonte/Projeto Pedra de Ferro/Bamin,Mineradora,Camponês de fundo e fecho de pasto,Destruição e ou poluição,Apropriação Particular,
2018,Nordeste,BA,Pindaí (BA),Com. Pau Ferro/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Pindaí (BA),Com. Piripiri/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Pindaí (BA),Com. Poço Comprido/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
2018,Nordeste,BA,Pindaí (BA),Com. Rega Pé/Projeto Pedra de Ferro/Bamin,Mineradora,Geraizeiro,Diminuição do acesso à Água,Apropriação Particular,Danos
